"$100 Value","MSA","County","State"
"$ 83.45","San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)","Alameda","CA"
"$ 83.45","San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)","Contra Costa","CA"
"$ 83.45","San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)","Marin","CA"
"$ 83.45","San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)","San Francisco","CA"
"$ 83.45","San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)","San Mateo","CA"
"$ 86.84","San Diego-Chula Vista-Carlsbad, CA (Metropolitan Statistical Area)","San Diego","CA"
"$ 87.15","Urban Honolulu, HI (Metropolitan Statistical Area)","Honolulu","HI"
"$ 87.28","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","Bergen","NJ"
"$ 87.28","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","Essex","NJ"
"$ 87.28","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","Hudson","NJ"
"$ 87.28","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","Hunterdon","NJ"
"$ 87.28","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","Middlesex","NJ"
"$ 87.28","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","Monmouth","NJ"
"$ 87.28","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","Morris","NJ"
"$ 87.28","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","Ocean","NJ"
"$ 87.28","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","Passaic","NJ"
"$ 87.28","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","Somerset","NJ"
"$ 87.28","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","Sussex","NJ"
"$ 87.28","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","Union","NJ"
"$ 87.28","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","Bronx","NY"
"$ 87.28","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","Kings","NY"
"$ 87.28","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","Nassau","NY"
"$ 87.28","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","New York","NY"
"$ 87.28","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","Putnam","NY"
"$ 87.28","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","Queens","NY"
"$ 87.28","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","Richmond","NY"
"$ 87.28","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","Rockland","NY"
"$ 87.28","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","Suffolk","NY"
"$ 87.28","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","Westchester","NY"
"$ 87.28","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)","Pike","PA"
"$ 87.28","Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)","King","WA"
"$ 87.28","Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)","Pierce","WA"
"$ 87.28","Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)","Snohomish","WA"
"$ 87.86","Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)","Los Angeles","CA"
"$ 87.86","Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)","Orange","CA"
"$ 89.23","Napa, CA (Metropolitan Statistical Area)","Napa","CA"
"$ 89.25","Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)","Maui + Kalawao","HI"
"$ 89.44","Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)","Santa Barbara","CA"
"$ 89.57","San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)","San Benito","CA"
"$ 89.57","San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)","Santa Clara","CA"
"$ 89.76","Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)","Ventura","CA"
"$ 89.82","Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","District of Columbia","DC"
"$ 89.82","Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","District of Columbia","DC"
"$ 89.82","Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","District of Columbia","DC"
"$ 89.82","Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","District of Columbia","DC"
"$ 89.82","Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","Calvert","MD"
"$ 89.82","Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","Charles","MD"
"$ 89.82","Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","Frederick","MD"
"$ 89.82","Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","Montgomery","MD"
"$ 89.82","Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","Prince George's","MD"
"$ 89.82","Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","Arlington","VA"
"$ 89.82","Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","Clarke","VA"
"$ 89.82","Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","Culpeper","VA"
"$ 89.82","Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","Fairfax","VA"
"$ 89.82","Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","Fauquier","VA"
"$ 89.82","Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","Loudoun","VA"
"$ 89.82","Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)","Madison","VA"
