Metropolitan area,"February 2024(P)
rate",Rank
United States,4.2,
,,
"Ames, IA Metropolitan Statistical Area",1.9,1
"Burlington-South Burlington, VT Metropolitan NECTA",2,2
"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area",2.2,3
"Gainesville, GA Metropolitan Statistical Area",2.3,4
"Madison, WI Metropolitan Statistical Area",2.3,4
"Hattiesburg, MS Metropolitan Statistical Area",2.4,6
"Iowa City, IA Metropolitan Statistical Area",2.4,6
"Jackson, MS Metropolitan Statistical Area",2.4,6
"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area",2.5,9
"Sheboygan, WI Metropolitan Statistical Area",2.5,9
"Sioux Falls, SD Metropolitan Statistical Area",2.5,9
"California-Lexington Park, MD Metropolitan Statistical Area",2.6,12
"Charlottesville, VA Metropolitan Statistical Area",2.6,12
"Fargo, ND-MN Metropolitan Statistical Area",2.6,12
"Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area",2.6,12
"Grand Forks, ND-MN Metropolitan Statistical Area",2.6,12
"Knoxville, TN Metropolitan Statistical Area",2.6,12
"Lincoln, NE Metropolitan Statistical Area",2.6,12
"Rapid City, SD Metropolitan Statistical Area",2.6,12
"State College, PA Metropolitan Statistical Area",2.6,12
"Appleton, WI Metropolitan Statistical Area",2.7,21
"Bismarck, ND Metropolitan Statistical Area",2.7,21
"Chattanooga, TN-GA Metropolitan Statistical Area",2.7,21
"Decatur, AL Metropolitan Statistical Area",2.7,21
"Dover-Durham, NH-ME Metropolitan NECTA",2.7,21
"Fond du Lac, WI Metropolitan Statistical Area",2.7,21
"Gulfport-Biloxi-Pascagoula, MS Metropolitan Statistical Area",2.7,21
"Logan, UT-ID Metropolitan Statistical Area",2.7,21
"Savannah, GA Metropolitan Statistical Area",2.7,21
"Staunton-Waynesboro, VA Metropolitan Statistical Area",2.7,21
"Urban Honolulu, HI Metropolitan Statistical Area",2.7,21
"Winchester, VA-WV Metropolitan Statistical Area",2.7,21
"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",2.8,33
