CBSA,Population,Median Rent,YoY % Change,MoM % Change
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/rhode island/providence-apartments/"">Providence, RI</a>",1675774,2742.75,16.18129832,4.765087853
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/florida/jacksonville-apartments/"">Jacksonville, FL</a>",1637666,1804.25,10.50375134,1.319668679
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/california/san-jose-apartments/"">San Jose, CA</a>",1952185,3932,8.942301032,0.768836494
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/missouri/st.-louis-apartments/"">St. Louis, MO</a>",2809299,1680.5,8.279639175,-3.461151802
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/missouri/kansas-city-apartments/"">Kansas City, MO</a>",2199490,1686.25,8.266452648,-0.516224189
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/minnesota/minneapolis-apartments/"">Minneapolis, MN</a>",3690512,1896.5,7.893613995,0.343915344
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/oklahoma/oklahoma-city-apartments/"">Oklahoma City, OK</a>",1441647,1267.75,7.459207459,-4.103630862
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/virginia/virginia-beach-apartments/"">Virginia Beach, VA</a>",1803328,1826,7.222548444,4.313053413
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/illinois/chicago-apartments/"">Chicago, IL</a>",9509934,2357.5,6.879746118,0.931178422
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/wisconsin/milwaukee-apartments/"">Milwaukee, WI</a>",1566487,1834.5,6.394084385,4.026084491
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/connecticut/hartford-apartments/"">Hartford, CT</a>",1211906,2160,6.338461538,1.230228471
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/new york/buffalo-apartments/"">Buffalo, NY</a>",1162336,1736.75,6.10966855,5.980167811
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/florida/orlando-apartments/"">Orlando, FL</a>",2691925,2246.5,5.593419506,1.170907453
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/ohio/columbus-apartments/"">Columbus, OH</a>",2151017,1704.5,5.36238603,-1.374222479
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/ohio/cincinnati-apartments/"">Cincinnati, OH</a>",2259935,1646,5.259792166,-0.453583308
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/california/los-angeles-apartments/"">Los Angeles, CA</a>",12997353,3587.25,5.14398769,2.397773496
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/arizona/phoenix-apartments/"">Phoenix, AZ</a>",4946145,2182.25,4.538922156,0.645682002
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/utah/salt-lake-city-apartments/"">Salt Lake City, UT</a>",1263061,1974.75,4.456492991,3.241406352
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/virginia/richmond-apartments/"">Richmond, VA</a>",1324062,1806.25,3.302830998,2.192362093
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/washington/seattle-apartments/"">Seattle, WA</a>",4011553,2946,2.961992136,-2.069309399
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/georgia/atlanta-apartments/"">Atlanta, GA</a>",6144050,2113,2.834894756,4.088669951
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/massachusetts/boston-apartments/"">Boston, MA</a>",4899932,3939.5,2.63123616,4.336886711
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/new york/new-york-apartments/"">New York, NY</a>",19768458,4120.75,2.467984583,-1.080237652
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/alabama/birmingham-apartments/"">Birmingham, AL</a>",1114262,1625.25,2.233055512,3.800095801
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/texas/dallas-apartments/"">Dallas, TX</a>",7759615,2180,2.215449537,4.406130268
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/texas/san-antonio-apartments/"">San Antonio, TX</a>",2601788,1463,1.986754967,0.222640863
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/california/san-francisco-apartments/"">San Francisco, CA</a>",4623264,3788.75,1.964610106,2.690066405
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/indiana/indianapolis-apartments/"">Indianapolis, IN</a>",2126804,1563.5,1.59194282,0.854700855
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/district of columbia/washington-apartments/"">Washington, DC</a>",6356434,2657.25,1.04572678,1.947055438
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/pennsylvania/philadelphia-apartments/"">Philadelphia, PA</a>",6228601,2340.25,0.332261522,2.160864346
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/maryland/baltimore-apartments/"">Baltimore, MD</a>",2838327,1981.5,-0.025227043,2.205029014
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/california/san-diego-apartments/"">San Diego, CA</a>",3286069,3400.25,-0.278612802,2.43259527
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/california/sacramento-apartments/"">Sacramento, CA</a>",2411428,2614.25,-0.419007714,-0.200419927
"<a rel=""nofollow noopener noreferrer"" target=""_blank"" href=""https://www.rent.com/florida/miami-apartments/"">Miami, FL</a>",6091747,3056.5,-0.569290826,1.519554928
